Assembly Accession,Assembly BioSample Description Organism Name,ANI Best ANI match ANI,ANI Best ANI match Assembly,ANI Best ANI match Assembly Coverage,ANI Best ANI match Type Category,ANI Best ANI match Organism,ANI Best ANI match Type Assembly Coverage,ANI Best match status,ANI Category,ANI Check status,ANI Comment,ANI Declared ANI match ANI,ANI Declared ANI match Assembly,ANI Declared ANI match Assembly Coverage,ANI Declared ANI match Type Category,ANI Declared ANI match Organism,ANI Declared ANI match Type Assembly Coverage,ANI Submitted organism,ANI Submitted species,Annotation Count Gene Non-coding,Annotation Count Gene Other,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Annotation Count Gene Total,Annotation Method,Annotation Provider,Annotation Release Date,Annotation Software Version,Assembly Assembly Method,Assembly Atypical Is Atypical,Assembly Atypical Warnings,Assembly BioProject Accession,Assembly BioProject Lineage Accession,Assembly BioProject Lineage Parent Accessions,Assembly BioProject Lineage Title,Assembly BioSample Accession,Assembly BioSample Attribute Name,Assembly BioSample Attribute Value,Assembly BioSample Biomaterial provider,Assembly BioSample BioProject Accession,Assembly BioSample Collected by,Assembly BioSample Collection date,Assembly BioSample Description Comment,Assembly BioSample Description Organism Name,Assembly BioSample Description Organism Taxonomic ID,Assembly BioSample Description Title,Assembly BioSample Development stage,Assembly BioSample Geographic location,Assembly BioSample Host,Assembly BioSample Identified by,Assembly BioSample Sample Identifiers Database,Assembly BioSample Sample Identifiers Value,Assembly BioSample IFSAC category,Assembly BioSample Isolate,Assembly BioSample Isolate name alias,Assembly BioSample Isolation source,Assembly BioSample Last updated,Assembly BioSample Latitude and Longitude,Assembly BioSample Models,Assembly BioSample Owner Contact Lab,Assembly BioSample Owner Name,Assembly BioSample Package,Assembly BioSample Project name,Assembly BioSample Publication date,Assembly BioSample Sample name,Assembly BioSample Status Status,Assembly BioSample Status When,Assembly BioSample Strain,Assembly BioSample Submission date,Assembly BioSample Tissue,Assembly Level,Assembly Name,Assembly Notes ,Assembly Paired Assembly Accession,Assembly Paired Assembly Name,Assembly Paired Assembly Status,Assembly Refseq Category,Assembly Release Date,Assembly Sequencing Tech,Assembly Status,Assembly Submitter,Assembly Type,Assembly Stats ATGC Count,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats GC Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Component Sequences,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,Assembly Stats Scaffold L50,Assembly Stats Scaffold N50,Assembly Stats Total Number of Chromosomes,Assembly Stats Total Sequence Length,Assembly Stats Total Ungapped Length,CheckM completeness,CheckM completeness percentile,CheckM contamination,CheckM marker set,CheckM marker set rank,CheckM species tax id,CheckM version,Current Accession,Organism Infraspecific Names Isolate,Organism Infraspecific Names Strain,Organism Name,Organism Taxonomic ID,Source Database,WGS project accession,WGS URL
GCA_000422845.1,Oceanobacter kriegii DSM 6294,82.61000061,GCA_019740315.1,18.65999985,type,Oceanobacter mangrovi,16.43000031,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Oceanobacter kriegii DSM 6294,Oceanobacter kriegii,,,,,,,,,,Unknown program v. before 2013-03-19,,,PRJNA185608,PRJNA185608,,Oceanobacter kriegii DSM 6294,SAMN02441519,strain,DSM 6294,,PRJNA185608,,,,Oceanobacter kriegii DSM 6294,1122615,Generic sample from Oceanobacter kriegii DSM 6294,,,,,,AUGV,,,,,2023-12-24T02:04:44.531,,Generic,,NCBI,Generic.1.0,Oceanobacter kriegii DSM 6294,2013-12-11T00:00:00.000,,live,2013-12-11T13:22:48.107,DSM 6294,2013-12-11T13:21:02.420,,Scaffold,ASM42284v1,,GCF_000422845.1,GCF_000422845.1-RS_2025_12_09,current,reference genome,2013-07-11,Illumina HiSeq 2000,current,DOE Joint Genome Institute,haploid,4504349,7,226131,2488830,55.5,,41,42,36,5,244533,,4505834,4504349,100,,0.159999996,Oceanospirillaceae,family,64972,v1.2.4,GCA_000422845.1,,DSM 6294,Oceanobacter kriegii DSM 6294,1122615,SOURCE_DATABASE_GENBANK,AUGV01,https://www.ncbi.nlm.nih.gov/nuccore/AUGV00000000.1
GCA_000422865.1,Oceanospirillum maris DSM 6286,83.44000244,GCA_001995095.2,18.77000046,type,Oceanospirillum linum,18.38999939,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Oceanospirillum maris DSM 6286,Oceanospirillum maris,,,,,,,,,,Unknown program v. before 2013-03-19,,,PRJNA185609,PRJNA185609,,Oceanospirillum maris DSM 6286,SAMN02440652,strain,DSM 6286,,PRJNA185609,,,,Oceanospirillum maris DSM 6286,1122617,Generic sample from Oceanospirillum maris DSM 6286,,,,,,AUGW,,,,,2019-06-20T16:44:32.062,,Generic,,NCBI,Generic.1.0,Oceanospirillum maris DSM 6286,2013-12-11T00:00:00.000,,live,2013-12-11T13:10:09.303,DSM 6286,2013-12-11T13:07:35.620,,Scaffold,ASM42286v1,,GCF_000422865.1,GCF_000422865.1-RS_2025_05_02,current,reference genome,2013-07-11,Illumina HiSeq 2000,current,DOE Joint Genome Institute,haploid,3706598,8,180702,1701942,46,,51,53,44,6,199769,,3709807,3706598,97.73000336,,0.439999998,Oceanospirillum,genus,64977,v1.2.3,GCA_000422865.1,,DSM 6286,Oceanospirillum maris DSM 6286,1122617,SOURCE_DATABASE_GENBANK,AUGW01,https://www.ncbi.nlm.nih.gov/nuccore/AUGW00000000.1
GCA_000428985.1,Marinobacterium litorale DSM 23545,83.08000183,GCA_900108065.1,13.72999954,type,Marinobacterium lutimaris,10.78999996,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinobacterium litorale DSM 23545,Marinobacterium litorale,,,,,,,,,,Unknown program v. before 2013-03-07,,,PRJNA185362,PRJNA185362,,Marinobacterium litorale DSM 23545,SAMN02440877,strain,DSM 23545,,PRJNA185362,,,,Marinobacterium litorale DSM 23545,1122201,Generic sample from Marinobacterium litorale DSM 23545,,South Korea,,,,AUAZ,,,,,2019-06-20T16:44:36.154,,Generic,,NCBI,Generic.1.0,Marinobacterium litorale DSM 23545,2013-12-11T00:00:00.000,,live,2013-12-11T13:10:34.177,DSM 23545,2013-12-11T13:07:51.910,,Scaffold,ASM42898v1,,GCF_000428985.1,GCF_000428985.1-RS_2025_05_02,current,reference genome,2013-07-15,Illumina HiSeq 2000,current,DOE Joint Genome Institute,haploid,4378162,11,137897,2469943,56.5,,68,69,64,11,137897,,4380400,4378162,99.55999756,,0.660000026,Marinobacterium,genus,404770,v1.2.3,GCA_000428985.1,,DSM 23545,Marinobacterium litorale DSM 23545,1122201,SOURCE_DATABASE_GENBANK,AUAZ01,https://www.ncbi.nlm.nih.gov/nuccore/AUAZ00000000.1
GCA_000508165.1,Marinomonas profundimaris,83.23000336,GCA_013372285.1,62.65999985,type,Marinomonas primoryensis,59.04000092,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinomonas profundimaris,Marinomonas profundimaris,72,,3576,27,3675,Best-placed reference protein set; GeneMarkS+,NCBI,2013-11-07,2.2 (rev. 415875),SOAPdenovo v. 1.05,,,PRJNA170395,PRJNA170395,,Marinomonas sp. D104 Genome Sequencing,SAMN02471158,strain,D104,,PRJNA170395,,2010-08-17,,Marinomonas profundimaris,1208321,Sample from Marinomonas profundimaris,,Arctic Ocean,,,,AYOZ,,,,surface sediment from Makarov Basin at depth 4000 m and layer 8-12 cm,2021-02-28T02:14:31.702,,Generic,,NCBI,Generic.1.0,,2013-12-19T00:00:00.000,,live,2013-12-19T13:38:28.100,D104,2013-12-19T13:34:49.210,,Contig,SOAPdenovo for version v2.01 of the Marinomonas sp. D104 genome,,GCF_000508165.1,GCF_000508165.1-RS_2025_12_09,current,reference genome,2013-12-16,Illumina,current,The Third Institute of State Oceanic Administration (SOA),haploid,3833369,7,207434,1716846,45,353,62,62,62,7,207434,,3833369,3833369,95.63999939,,2.529999971,Marinomonas,genus,1208321,v1.2.4,GCA_000508165.1,,D104,Marinomonas profundimaris,1208321,SOURCE_DATABASE_GENBANK,AYOZ01,https://www.ncbi.nlm.nih.gov/nuccore/AYOZ00000000.1
GCA_000521805.1,Marinomonas ushuaiensis DSM 15871,82.83000183,GCA_014803385.1,41.11999893,type,Marinomonas colpomeniae,37.08000183,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinomonas ushuaiensis DSM 15871,Marinomonas ushuaiensis,64,,3076,28,3168,Best-placed reference protein set; GeneMarkS+,NCBI,2014-01-17,2.3 (rev. 423251),SOAPdenovo v. 1.05,,,PRJNA235145,PRJNA235145,,Marinomonas ushuaiensis DSM 15871 Genome sequencing and assembly,SAMN02597439,strain,DSM 15871,,PRJNA235145,,,,Marinomonas ushuaiensis DSM 15871,1122207,Sample from Marinomonas ushuaiensis DSM 15871,,,,,,JAMB,,,,,2019-06-20T16:49:03.630,,Generic,,NCBI,Generic.1.0,,2014-01-27T00:00:00.000,,live,2014-01-27T12:59:06.493,DSM 15871,2014-01-27T12:59:06.493,,Contig,SOAPdenovo v1.05,,GCF_000521805.1,GCF_000521805.1-RS_2025_05_02,current,reference genome,2014-01-22,Illumina HiSeq,current,The Third Institute of State Oceanic Administration (SOA),haploid,3342098,5,205043,1373813,41,100,39,39,39,5,205043,,3342098,3342098,88.25,,2.410000086,Marinomonas,genus,263818,v1.2.3,GCA_000521805.1,,DSM 15871,Marinomonas ushuaiensis DSM 15871,1122207,SOURCE_DATABASE_GENBANK,JAMB01,https://www.ncbi.nlm.nih.gov/nuccore/JAMB00000000.1
GCA_000582555.1,Thalassolituus oleivorans R6-15,98.33000183,GCA_000355675.1,91.05999756,type,Thalassolituus oleivorans,87.43000031,species_match,category_na,OK,na,98.33000183,GCA_000355675.1,91.05999756,type,Thalassolituus oleivorans MIL-1,87.43000031,Thalassolituus oleivorans R6-15,Thalassolituus oleivorans,61,,3372,56,3489,Best-placed reference protein set; GeneMarkS+,NCBI,2013-10-22,2.2 (rev. 415568),Newbler v. V2.7,,,PRJNA170393,PRJNA170393,,Thalassolituus oleivorans R6-15 Genome Sequencing,SAMN03081496,isolation_source,surface seawater,,PRJNA170393,Dong Chunming,2010-07,,Thalassolituus oleivorans R6-15,1208320,Sample from Thalassolituus oleivorans R6-15,,,,,GenBank,gb|CP006829.1,,,,surface seawater,2021-02-28T02:28:03.174,69.5000 N 168.9833 W,Generic,,"The Third Institute, State Oceanic Administration",Generic.1.0,,2014-09-26T00:00:00.000,,live,2014-09-26T10:53:43.853,R6-15,2014-09-26T10:53:43.853,,Complete Genome,ASM58255v1,,GCF_000582555.1,GCF_000582555.1-RS_2026_02_09,current,,2014-02-26,454,current,The Third Institute of State Oceanic Administration (SOA),haploid,3764053,1,3764053,1753947,46.5,21.1,1,1,1,1,3764053,1,3764053,3764053,98.05000305,66.66670227,1.769999981,Oceanospirillaceae,family,187493,v1.2.4,GCA_000582555.1,,R6-15,Thalassolituus oleivorans R6-15,1208320,SOURCE_DATABASE_GENBANK,,
GCA_000585235.1,Nitrincola nitratireducens,99.18000031,GCA_009821115.1,90.05000305,suspected_type,Nitrincola alkalisediminis,91.36000061,mismatch,suspected_type,Inconclusive,assembly is type_material,,,,,,,Nitrincola nitratireducens,Nitrincola nitratireducens,55,,4020,,4075,,Institute of Microbial Technology,2015-12-11,,Newbler v. 2.7,,,PRJNA179027,PRJNA179027,,Draft genome sequence of Nitrincola sp. AK23,SAMN02951920,geo_loc_name,India,,PRJNA179027,,,,Nitrincola nitratireducens,1229521,Sample from Nitrincola nitratireducens,,India,,,GenBank,AONB,,,,alkaline lake,2019-06-20T17:03:38.630,,Generic,,"Institute of Microbial Technology, Microbial Type Culture Collection and Gene Bank (MTCC)",Generic.1.0,,2014-08-05T00:00:00.000,,live,2014-08-05T09:00:33.740,AK23,2014-08-05T09:00:33.740,,Contig,NitAk23,,GCF_000585235.1,GCF_000585235.1-RS_2025_03_21,current,reference genome,2014-03-04,IonTorrent,current,Institute of Microbial Technology,haploid,4027646,9,133896,1884750,47,107,68,68,68,9,133896,,4027646,4027646,88.73000336,,2.039999962,Oceanospirillaceae,family,1229521,v1.2.4,GCA_000585235.1,,AK23,Nitrincola nitratireducens,1229521,SOURCE_DATABASE_GENBANK,AONB01,https://www.ncbi.nlm.nih.gov/nuccore/AONB00000000.1
GCA_000620085.1,Marinobacterium jannaschii DSM 6295,81.31999969,GCA_019795155.1,5.440000057,type,Marinobacterium arenosum,5.860000134,low_coverage,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinobacterium jannaschii DSM 6295,Marinobacterium jannaschii,,,,,,,,,,vpAllpaths v. r46652,,,PRJNA221025,PRJNA221025,,Marinobacterium jannaschii DSM 6295 Genome sequencing and assembly,SAMN02952989,strain,DSM 6295,,PRJNA221025,,,,Marinobacterium jannaschii DSM 6295,1122200,Sample from Marinobacterium jannaschii DSM 6295,,,,,SRA,SRS1368300,,,,,2023-12-24T02:08:35.786,,Generic,,DOE Joint Genome Institute,Generic.1.0,Marinobacterium jannaschii DSM 6295,2014-08-05T00:00:00.000,,live,2014-08-05T17:05:11.347,DSM 6295,2014-08-05T17:05:11.346,,Scaffold,ASM62008v1,,GCF_000620085.1,GCF_000620085.1-RS_2025_12_09,current,reference genome,2014-04-08,Illumina HiSeq 2000,current,DOE Joint Genome Institute,haploid,5174240,9,201016,2856664,55,,47,51,39,8,293170,,5177835,5174240,99.37000275,,1.200000048,Marinobacterium,genus,64970,v1.2.4,GCA_000620085.1,,DSM 6295,Marinobacterium jannaschii DSM 6295,1122200,SOURCE_DATABASE_GENBANK,JHVJ01,https://www.ncbi.nlm.nih.gov/nuccore/JHVJ00000000.1
GCA_000691225.1,Nitrincola lacisaponensis,79.90000153,GCA_008727795.1,19.70000076,type,Nitrincola iocasae,16.11000061,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Nitrincola lacisaponensis,Nitrincola lacisaponensis,52,,3093,,3145,,Institute of Microbial Technology,2014-05-15,,CLCbio Genomics Workbench v. 7.0,,,PRJNA242584,PRJNA242584,,Nitrincola lacisaponensis strain:4CA Genome sequencing and assembly,SAMN02700551,strain,4CA,,,,2005,,Nitrincola lacisaponensis,267850,Microbe sample from Nitrincola lacisaponensis,,"USA: Grant County, WA",,,,Nitrincola lacisaponensis 4CA,,,,"decayed, red-colored wood collected on the shore of Soap Lake",2019-06-20T16:54:20.994,,"Microbe, viral or environmental",,Institute of Microbial Technology,Microbe.1.0,,2014-03-26T00:00:00.000,,live,2014-03-26T03:44:09.370,4CA,2014-03-26T03:25:36.410,,Contig,NitLas1.0,,GCF_000691225.1,GCF_000691225.1-RS_2025_03_29,current,reference genome,2014-05-15,Illumina MiSeq,current,Institute of Microbial Technology,haploid,3412133,3,336457,1776674,52,159,43,43,43,3,336457,,3412133,3412133,95.95999908,,0.219999999,Oceanospirillaceae,family,267850,v1.2.3,GCA_000691225.1,,4CA,Nitrincola lacisaponensis,267850,SOURCE_DATABASE_GENBANK,JMSZ01,https://www.ncbi.nlm.nih.gov/nuccore/JMSZ00000000.1
GCA_001305295.1,Neptunomonas antarctica,99.98999786,GCA_900156635.1,99.80999756,type,Neptunomonas antarctica,99.81999969,species_match,type,OK,na,99.98999786,GCA_900156635.1,99.80999756,type,Neptunomonas antarctica,99.81999969,Neptunomonas antarctica,Neptunomonas antarctica,,,,,,,,,,SOAPdenovo v. 1.05,,,PRJNA295504,PRJNA295504,,Neptunomonas antarctica strain:S3-22 Genome sequencing and assembly,SAMN04074909,strain,S3-22,,,,2007-01-12,Keywords: GSC:MIxS;MIGS:6.0,Neptunomonas antarctica,619304,MIGS Cultured Bacterial/Archaeal sample from Neptunomonas antarctica,,Antarctica: Nella Fjord,,,,Nant,,,,Antarctic marine sediment,2021-02-28T02:52:12.611,69.36 S 76.37 E,"MIGS.ba,MIGS/MIMS/MIMARKS.water",,Shandong University,MIGS.ba.water.6.0,,2015-10-04T00:00:00.000,,live,2015-10-04T06:45:04.223,S3-22,2015-09-14T05:55:26.000,,Contig,Nant_v1,,GCF_001305295.1,GCF_001305295.1-RS_2025_03_27,current,,2015-10-01,Illumina HiSeq,current,Shandong University,haploid,4568828,7,183668,2089314,45.5,109.4,55,55,55,7,183668,,4568828,4568828,99.61000061,,2.619999886,Oceanospirillaceae,family,619304,v1.2.3,GCA_001305295.1,,S3-22,Neptunomonas antarctica,619304,SOURCE_DATABASE_GENBANK,LJSI01,https://www.ncbi.nlm.nih.gov/nuccore/LJSI00000000.1
GCA_001597725.1,Neptuniibacter marinus,83.51999664,GCA_001597735.1,68.08999634,type,Neptuniibacter pectenicola,64.76000214,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Neptuniibacter marinus,Neptuniibacter marinus,,,,,,,,,,SPAdes v. 3.6.2,,,PRJNA312822,PRJNA312822,,Neptuniibacter marinus strain:ATR 1.1 Genome sequencing and assembly,SAMN04506967,strain,ATR 1.1,,PRJNA312822,,2011-01-27,,Neptuniibacter marinus,1806670,Microbe sample from Neptuniibacter marinus,,Norway: Bergen,,,,CECT 8938T,,,,water,2021-02-28T03:09:23.371,,"Microbe, viral or environmental",,Universidad de Santiago de Compostela,Microbe.1.0,,2016-02-22T00:00:00.000,,live,2016-02-22T13:53:02.315,ATR 1.1,2016-02-22T13:53:02.000,,Contig,ASM159772v1,,GCF_001597725.1,GCF_001597725.1-RS_2025_12_12,current,,2016-03-25,Illumina MiSeq,current,Universidad de Santiago de Compostela,haploid,3454191,8,108465,1477984,43,100,117,117,117,8,108465,,3454191,3454191,99.66999817,50,1.039999962,Oceanospirillaceae,family,1806670,v1.2.4,GCA_001597725.1,,ATR 1.1,Neptuniibacter marinus,1806670,SOURCE_DATABASE_GENBANK,LUTR01,https://www.ncbi.nlm.nih.gov/nuccore/LUTR00000000.1
GCA_001597735.1,Neptuniibacter pectenicola,83.51000214,GCA_001597725.1,64.77999878,type,Neptuniibacter marinus,68.11000061,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Neptuniibacter pectenicola,Neptuniibacter pectenicola,,,,,,,,,,SPAdes v. 3.6.2,,,PRJNA312821,PRJNA312821,,Neptuniibacter pectenicola strain:LFT 1.8 Genome sequencing and assembly,SAMN04506932,strain,LFT 1.8,,PRJNA312821,,2011-01-27,,Neptuniibacter pectenicola,1806669,Microbe sample from Neptuniibacter pectenicola,,Norway: Bergen,,,,CECT 8936T,,,,scallop larvae,2021-02-28T03:09:22.587,,"Microbe, viral or environmental",,Universidad de Santiago de Compostela,Microbe.1.0,,2016-02-22T00:00:00.000,,live,2016-02-22T13:48:02.864,LFT 1.8,2016-02-22T13:48:02.000,,Contig,ASM159773v1,,GCF_001597735.1,GCF_001597735.1-RS_2025_08_05,current,reference genome,2016-03-25,Illumina MiSeq,current,Universidad de Santiago de Compostela,haploid,3631894,5,285345,1661102,45.5,100,203,203,203,5,285345,,3631894,3631894,100,83.33329773,1.49000001,Oceanospirillaceae,family,1806669,v1.2.4,GCA_001597735.1,,LFT 1.8,Neptuniibacter pectenicola,1806669,SOURCE_DATABASE_GENBANK,LUTS01,https://www.ncbi.nlm.nih.gov/nuccore/LUTS00000000.1
GCA_001625355.1,Marinomonas sp. TW1,89.27999878,GCA_003314975.1,80.27999878,type,Marinomonas aquiplantarum,80.43000031,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp. TW1,Marinomonas sp. TW1,105,,3355,120,3580,Best-placed reference protein set; GeneMarkS+,NCBI,2014-10-28,2.8 (rev. 450396),SPAdes v. 3.0,,,PRJNA263859,PRJNA263859,,Marinomonas sp. TW1 Genome sequencing and assembly,SAMN03107786,strain,TW1,,,,1993-09,Keywords: GSC:MIxS;MIGS:6.0,Marinomonas sp. TW1,1561203,MIGS Cultured Bacterium Marinomonas sp. TW1,,USA: La Jolla,,,,TW1_rwp,,,,,2021-02-28T02:28:40.214,32.8667137 N 117.2558702 W,"MIGS.ba,MIGS/MIMS/MIMARKS.water",,Scripps Institution of Oceanography,MIGS.ba.water.6.0,,2014-10-15T00:00:00.000,,live,2014-10-15T07:18:42.303,TW1,2014-10-15T04:36:04.750,,Scaffold,ASM162535v1,,GCF_001625355.1,GCF_001625355.1-RS_2025_08_25,current,,2016-04-21,Illumina MiSeq,current,Scripps Institution of Oceanography,haploid,3772661,8,210839,1683565,44.5,50,60,61,60,8,210839,,3772873,3772661,95.98000336,,1.50999999,Marinomonas,genus,1561203,v1.2.4,GCA_001625355.1,,TW1,Marinomonas sp. TW1,1561203,SOURCE_DATABASE_GENBANK,JSEE01,https://www.ncbi.nlm.nih.gov/nuccore/JSEE00000000.1
GCA_001639695.1,Marinomonas aquimarina,99.98999786,GCA_900089755.1,99.72000122,type,Marinomonas aquimarina,99.61000061,species_match,type,OK,na,99.98999786,GCA_900089755.1,99.72000122,type,Marinomonas aquimarina,99.61000061,Marinomonas aquimarina,Marinomonas aquimarina,,,,,,,,,,SPAdes v. 3.6.2,,,PRJNA312814,PRJNA312814,,Marinomonas aquimarina strain:11SM4 Genome sequencing and assembly,SAMN04506841,strain,11SM4,,PRJNA312814,,1989-11-01,,Marinomonas aquimarina,295068,Microbe sample from Marinomonas aquimarina,,Spain,,,,CECT 5080T,,,,seawater,2021-02-28T03:09:22.515,,"Microbe, viral or environmental",,Universidad de Santiago de Compostela,Microbe.1.0,,2016-02-22T00:00:00.000,,live,2016-02-22T12:59:02.586,11SM4,2016-02-22T12:59:02.000,,Contig,ASM163969v1,,GCF_001639695.1,GCF_001639695.1-RS_2026_02_11,current,,2016-04-29,Illumina MiSeq,current,Universidad de Santiago de Compostela,haploid,3655600,9,164225,1789509,49,100,84,84,84,9,164225,,3655600,3655600,87.44999695,,4.769999981,Marinomonas,genus,295068,v1.2.4,GCA_001639695.1,,11SM4,Marinomonas aquimarina,295068,SOURCE_DATABASE_GENBANK,LTAV01,https://www.ncbi.nlm.nih.gov/nuccore/LTAV00000000.1
GCA_001639725.1,Marinomonas atlantica,91.05000305,GCA_001639745.1,81.69999695,type,Marinomonas gallaica,78.58999634,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinomonas atlantica,Marinomonas atlantica,,,,,,,,,,SPAdes v. 3.6.2,,,PRJNA312797,PRJNA312797,,Marinomonas atlantica strain:Cmf 18.22 Genome sequencing and assembly,SAMN04506809,strain,Cmf 18.22,,PRJNA312797,,2007-08-31,,Marinomonas atlantica,1806668,Microbe sample from Marinomonas atlantica,,Spain: Galicia,Clam,,,Cmf 18.22,,,,,2021-02-28T03:09:22.040,,"Microbe, viral or environmental",,Universidad de Santiago de Compostela,Microbe.1.0,,2016-02-22T00:00:00.000,,live,2016-02-22T12:19:02.143,Cmf 18.22,2016-02-22T12:19:02.000,,Contig,ASM163972v1,,GCF_001639725.1,GCF_001639725.1-RS_2025_12_11,current,reference genome,2016-04-29,Illumina MiSeq,current,Universidad de Santiago de Compostela,haploid,3861046,4,478347,1723451,44.5,100,69,69,69,4,478347,,3861046,3861046,91.48999786,50,3.230000019,Marinomonas,genus,1806668,v1.2.4,GCA_001639725.1,,Cmf 18.22,Marinomonas atlantica,1806668,SOURCE_DATABASE_GENBANK,LTAW01,https://www.ncbi.nlm.nih.gov/nuccore/LTAW00000000.1
GCA_001639745.1,Marinomonas gallaica,91.05999756,GCA_001639725.1,78.5,type,Marinomonas atlantica,81.61000061,below_threshold_mismatch,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Marinomonas gallaica,Marinomonas gallaica,,,,,,,,,,SPAdes v. 3.6.2,,,PRJNA312795,PRJNA312795,,Marinomonas gallaica strain:Cmf 17.2 Genome sequencing and assembly,SAMN04506808,strain,Cmf 17.2,,PRJNA312795,,2007-06-25,,Marinomonas gallaica,1806667,Sequencing of Marinomonas strain,,Spain: Galicia,Clam,,,Cmf 17.2,,,,,2021-02-28T03:09:22.015,,"Microbe, viral or environmental",,Universidad de Santiago de Compostela,Microbe.1.0,,2016-02-22T00:00:00.000,,live,2016-02-22T12:16:01.972,Cmf 17.2,2016-02-22T12:16:01.000,,Contig,ASM163974v1,,GCF_001639745.1,GCF_001639745.1-RS_2025_12_12,current,,2016-04-29,Illumina MiSeq,current,Universidad de Santiago de Compostela,haploid,4013700,8,172005,1818399,45.5,100,121,121,121,8,172005,,4013700,4013700,91.52999878,50,4.880000114,Marinomonas,genus,1806667,v1.2.4,GCA_001639745.1,,Cmf 17.2,Marinomonas gallaica,1806667,SOURCE_DATABASE_GENBANK,LTAX01,https://www.ncbi.nlm.nih.gov/nuccore/LTAX00000000.1
GCA_001922565.1,Neptunomonas phycophila,98.97000122,GCA_001922575.1,93.95999908,type,Neptunomonas phycophila,96.93000031,species_match,category_na,OK,na,98.97000122,GCA_001922575.1,93.95999908,type,Neptunomonas phycophila,96.93000031,Neptunomonas phycophila,Neptunomonas phycophila,,,,,,,,,,SPAdes v. 3.6.2,,,PRJNA356211,PRJNA356211,,Neptunomonas phycophila 3CM2.5,SAMN06109310,strain,3CM2.5,,,,2012,,Neptunomonas phycophila,1572645,Microbe sample from Neptunomonas phycophila 3CM2.5,,Norway,scallop,,,3CM2.5,,,,,2016-12-05T08:03:02.603,,"Microbe, viral or environmental",,University of Santiago de Compostela,Microbe.1.0,,2016-12-05T08:03:02.536,,live,2016-12-05T08:03:02.603,3CM2.5,2016-12-05T08:03:02.603,,Contig,ASM192256v1,,GCF_001922565.1,GCF_001922565.1-RS_2025_08_22,current,,2016-12-28,Illumina MiSeq,current,University of Santiago de Compostela,haploid,3999042,5,410214,1811615,45.5,100,285,285,285,5,410214,,3999042,3999042,99.76999664,52,3.589999914,Oceanospirillaceae,family,1572645,v1.2.4,GCA_001922565.1,,3CM2.5,Neptunomonas phycophila,1572645,SOURCE_DATABASE_GENBANK,MRCJ01,https://www.ncbi.nlm.nih.gov/nuccore/MRCJ00000000.1
GCA_001922575.1,Neptunomonas phycophila,80.68000031,GCA_008630635.1,3.890000105,type,Neptunomonas concharum,4.239999771,low_coverage,type,OK,"Assembly is the type_strain, no match is expected",,,,,,,Neptunomonas phycophila,Neptunomonas phycophila,,,,,,,,,,SPAdes v. 3.6.2,,,PRJNA356205,PRJNA356205,,Neptunomonas phycophila strain:CECT 8716 Genome sequencing and assembly,SAMN06109290,strain,CECT 8716,,,,2015,,Neptunomonas phycophila,1572645,Microbe sample from Neptunomonas phycophila,,Puerto Rico,,,,CECT 8716T,,,,Symbiodinium sp.,2019-06-20T17:50:05.918,,"Microbe, viral or environmental",,University of Santiago de Compostela,Microbe.1.0,,2016-12-05T00:00:00.000,,live,2016-12-05T07:06:04.463,CECT 8716,2016-12-05T07:06:04.460,,Contig,ASM192257v1,,GCF_001922575.1,GCF_001922575.1-RS_2025_05_19,current,,2016-12-28,Illumina MiSeq,current,University of Santiago de Compostela,haploid,3876499,1,3052931,1763609,45.5,100,27,27,27,1,3052931,,3876499,3876499,99.83999634,60,1.230000019,Oceanospirillaceae,family,1572645,v1.2.3,GCA_001922575.1,,CECT 8716,Neptunomonas phycophila,1572645,SOURCE_DATABASE_GENBANK,MRCI01,https://www.ncbi.nlm.nih.gov/nuccore/MRCI00000000.1
